icdbase,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S00.0,Head/Neck,0.017918886047142656,-4.285670466553626,91873,1,Head/Neck,-0.07737605423621403,-3.8786441179476343,8412,1,1,1,Head/Neck,Head/Neck
S00.1,Face,0.11896797427814064,-4.285670466553626,29746,1,Face,-0.12374324470395968,-3.8786441179476343,2211,1,1,1,Face,Face
S00.2,Face,-0.12268837342563968,-4.285670466553626,5144,1,Face,-0.4693855547234312,-3.8786441179476343,681,1,1,1,Face,Face
S00.3,Face,6.89961651513106e-4,-4.285670466553626,10723,1,Face,-0.26783325650727347,-3.8786441179476343,1198,1,1,1,Face,Face
S00.4,Face,0.021247749457365666,-4.285670466553626,3339,1,Face,-0.07196927082520298,-3.8786441179476343,395,1,1,1,Face,Face
S00.5,Face,0.3044285707943419,-4.285670466553626,6459,2,Face,-0.6935246555586421,-3.8786441179476343,889,1,2,1,Face,Face
S00.8,Head/Neck,0.01896202483120693,-4.285670466553626,88187,1,Head/Neck,-0.14763405590525355,-3.8786441179476343,12373,1,1,1,Head/Neck,Head/Neck
S00.9,Head/Neck,0.2301237835994233,-4.285670466553626,3912,1,Head/Neck,-0.1827215967589716,-3.8786441179476343,1858,1,1,1,Head/Neck,Head/Neck
S01.0,Head/Neck,0.041837396979269484,-4.285670466553626,75498,1,Head/Neck,-0.07947778578346812,-3.8786441179476343,12830,1,1,1,Head/Neck,Head/Neck
S01.1,Face,-0.23706082355067737,-4.285670466553626,29131,1,Face,-0.29843140362271503,-3.8786441179476343,5330,1,1,1,Face,Face
S01.2,Face,-0.15314581388805704,-4.285670466553626,10945,1,Face,-0.14950701612489675,-3.8786441179476343,1629,1,1,1,Face,Face
S01.3,Face,-0.33464461022974756,-4.285670466553626,9453,1,Face,-0.34617816234131066,-3.8786441179476343,1465,1,1,1,Face,Face
S01.4,Face,-0.12594255208668662,-4.285670466553626,13479,1,Face,-0.2308505992199918,-3.8786441179476343,1277,1,1,1,Face,Face
S01.5,Face,-0.20868526795355835,-4.285670466553626,26958,1,Face,-0.2192865637485139,-3.8786441179476343,4694,1,1,1,Face,Face
S01.8,Head/Neck,0.015638299929752162,-4.285670466553626,51116,1,Head/Neck,0.0654301163071463,-3.8786441179476343,11212,2,1,2,Head/Neck,Head/Neck
S01.9,Head/Neck,0.7981103597872468,-4.285670466553626,1659,4,Head/Neck,0.5738815915667019,-3.8786441179476343,752,4,4,4,Head/Neck,Head/Neck
S02.0,Head/Neck,0.13244632869204484,-4.285670466553626,34990,1,Head/Neck,0.16805167794252987,-3.8786441179476343,3063,2,1,2,Head/Neck,Head/Neck
S02.01,Head/Neck,0.9992394397971045,-4.285670466553626,5054,4,Head/Neck,0.8014695474175626,-3.8786441179476343,551,4,4,4,Head/Neck,Head/Neck
S02.1,Face,0.13650715741528663,-4.285670466553626,32627,1,Face,0.1783511712837909,-3.8786441179476343,7452,2,1,2,Face,Face
S02.11,Face,0.7703194474651721,-4.285670466553626,4068,4,Face,0.9048390534641642,-3.8786441179476343,610,5,4,5,Face,Face
S02.2,Face,-0.0511787300129813,-4.285670466553626,40051,1,Face,-0.11512800835361901,-3.8786441179476343,7206,1,1,1,Face,Face
S02.21,Face,-0.1253264692572411,-4.285670466553626,2761,1,Face,-0.2305726004216851,-3.8786441179476343,406,1,1,1,Face,Face
S02.3,Face,-0.1778288719741865,-4.285670466553626,21282,1,Face,-0.28895868373746675,-3.8786441179476343,3694,1,1,1,Face,Face
S02.31,Face,-0.04108042455889845,-4.285670466553626,777,1,Face,-0.5243888281805348,-3.8786441179476343,152,1,1,1,Face,Face
S02.4,Face,-0.09658661817721301,-4.285670466553626,40776,1,Face,0.0268293032890493,-3.8786441179476343,6410,2,1,2,Face,Face
S02.41,Face,-0.05221995053765721,-4.285670466553626,2469,1,Face,0.007020099456023038,-3.8786441179476343,387,1,1,1,Face,Face
S02.5,Face,-0.2356225025590685,-4.285670466553626,9051,1,Face,-0.49663991551028214,-3.8786441179476343,1289,1,1,1,Face,Face
S02.51,Face,0.18880743980955814,-4.285670466553626,559,1,Face,-0.46835087931832403,-3.8786441179476343,69,1,1,1,Face,Face
